Ime;Narodnost;Položaj;Ekipa;Starost;Odigrane tekme;Minute;Goli;Asistence;Rumeni kartoni;Rdeči kartoni
Thilo Kehrer;GER;DF, MF;West Ham;26;4;22;0;0;2;0
Caoimhín Kelleher;IRL;GK;Liverpool;24;10;900;0;0;0;0
Lloyd Kelly;ENG;DF;Bournemouth;24;23;1559;0;1;2;0
Omari Kellyman;ENG;FW;Aston Villa;17;2;37;0;0;0;0
Milos Kerkez;HUN;DF;Bournemouth;19;28;1970;0;1;4;1
Kaine Kesler-Hayden;ENG;MF, DF;Aston Villa;20;3;6;0;0;0;0
Max Kilman;ENG;DF;Wolves;26;38;3420;2;0;7;0
Jakub Kiwior;POL;DF;Arsenal;23;20;946;1;3;1;0
Justin Kluivert;NED;MF, FW;Bournemouth;24;32;1916;7;1;5;0
Luca Koleosho;ITA;MF, FW;Burnley;18;15;974;1;1;0;0
Ibrahima Konaté;FRA;DF;Liverpool;24;22;1574;0;0;5;1
Ezri Konsa;ENG;DF;Aston Villa;25;35;3069;1;0;5;0
Cheikhou Kouyaté;SEN;MF;Nott'ham Forest;33;12;212;0;0;2;0
Mateo Kovačić;CRO;MF;Manchester City;29;30;1551;1;0;4;0
Emil Krafth;SWE;DF;Newcastle Utd;28;17;913;0;0;2;0
Mohammed Kudus;GHA;FW, MF;West Ham;22;33;2484;8;6;6;0
Dejan Kulusevski;SWE;FW, MF;Tottenham;23;36;2762;8;3;7;0
Adam Lallana;ENG;MF, FW;Brighton;35;25;850;0;1;2;0
Tariq Lamptey;GHA;DF, FW;Brighton;22;19;914;0;3;3;0
Aymeric Laporte;ESP;DF;Manchester City;29;1;12;0;0;0;0
Yasser Larouci;ALG;DF;Sheffield Utd;22;11;531;0;0;1;0
Jamaal Lascelles;ENG;DF;Newcastle Utd;29;16;1080;1;0;4;0
Roméo Lavia;BEL;MF;Chelsea;19;1;33;0;0;0;0
Mario Lemina;GAB;MF;Wolves;29;35;2968;4;1;12;1
Clément Lenglet;FRA;DF;Aston Villa;28;14;1153;0;1;3;0
Bernd Leno;GER;GK;Fulham;31;38;3420;0;0;3;0
Jefferson Lerma;COL;MF, DF;Crystal Palace;28;28;2400;1;1;8;0
Rico Lewis;ENG;DF, MF;Manchester City;18;16;809;2;0;1;0
Keane Lewis-Potter;ENG;FW, DF;Brentford;22;30;1441;3;1;0;0
Victor Lindelöf;SWE;DF;Manchester Utd;29;19;1328;1;1;2;0
Valentino Livramento;ENG;DF;Newcastle Utd;20;26;1314;1;0;1;0
Giovani Lo Celso;ARG;MF;Tottenham;27;22;506;2;2;2;0
Tom Lockyer;WAL;DF;Luton Town;28;14;1169;1;1;4;0
Sean Longstaff;ENG;MF;Newcastle Utd;25;35;2747;6;2;7;0
Max Lowe;ENG;DF, MF;Sheffield Utd;26;10;503;0;0;1;0
Douglas Luiz;BRA;MF;Aston Villa;25;35;2993;9;5;12;0
Saša Lukić;SRB;MF;Fulham;26;24;1122;1;0;3;0
Ian Maatsen;NED;FW, MF;Chelsea;21;12;209;0;0;1;0
Alexis Mac Allister;ARG;MF;Liverpool;24;33;2599;5;5;7;1
James Maddison;ENG;MF;Tottenham;26;28;2135;4;9;5;0
Noni Madueke;ENG;FW;Chelsea;21;23;1053;5;2;2;0
Gabriel Magalhães;BRA;DF;Arsenal;25;36;3044;4;0;4;0
Harry Maguire;ENG;DF;Manchester Utd;30;22;1653;2;2;4;0
Kobbie Mainoo;ENG;MF;Manchester Utd;18;24;1924;3;1;3;0
Orel Mangala;BEL;MF;Nott'ham Forest;25;20;1563;1;0;6;0
Benson Manuel;ANG;MF, FW;Burnley;26;8;116;0;0;0;0
Solly March;ENG;FW, DF;Brighton;29;7;554;3;1;1;0
Anthony Martial;FRA;FW;Manchester Utd;27;13;448;1;0;0;0
Gabriel Martinelli;BRA;FW;Arsenal;22;35;2019;6;4;1;0
Emiliano Martínez;ARG;GK;Aston Villa;30;34;3015;0;0;4;0
Lisandro Martínez;ARG;DF;Manchester Utd;25;11;646;0;1;3;0
Han-Noah Massengo;FRA;MF, DF;Burnley;22;3;16;0;0;0;0
Pape Matar Sarr;SEN;MF;Tottenham;20;34;2069;3;3;9;0
Jean-Philippe Mateta;FRA;FW;Crystal Palace;26;35;2282;16;5;3;0
Joël Matip;CMR;DF;Liverpool;31;10;781;0;0;2;0
Alex Matos;ENG;MF;Chelsea;18;1;1;0;0;0;0
Remi Matthews;ENG;GK;Crystal Palace;29;1;4;0;0;0;0
Neal Maupay;FRA;FW;Brentford;26;29;1321;6;3;8;0
